Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
650,"P Weaver, L Jansen, G Van Grootveld, E Van Spiegel…","Sustainable technology development",2017,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9781351283243/sustainable-technology-development-paul-weaver-leo-jansen-geert-van-grootveld-egbert-van-spiegel-philip-vergragt","https://scholar.google.com/scholar?cites=17478226195983222272&as_sdt=2005&sciodt=0,5&hl=en",1,"2022-12-15 13:24:16","BOOK","10.4324/9781351283243","","",,,,,650,130.00,130,5,5,"… and outcomes in favour of accelerating the development of sustainable technologies and maximising the contribution that technology can make toward sustainable development. …","","https://scholar.google.com/scholar?q=related:AMaBIx8ij_IJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
318,"J Holmberg, R Sandbrook","Sustainable development: what is to be done?",2019,"Policies for a small planet","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9780429200465-1/sustainable-development-done-johan-holmberg-richard-sandbrook","https://scholar.google.com/scholar?cites=18275399783876393205&as_sdt=2005&sciodt=0,5&hl=en",2,"2022-12-15 13:24:16","","10.4324/9780429200465-1","","",,,,,318,106.00,159,2,3,"… Finally, in Chapter 11, 'Living in a Sustainable World', we review life in a sustainable world from the perspectives of population policy in the South and patterns of consumption in the …","","https://scholar.google.com/scholar?q=related:9fgztkZDn_0J:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
93,"K Mulder, D Ferrer, H Van Lente","What is sustainable technology?",2017,"What is Sustainable Technology …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781351278485-1/sustainable-technology-karel-mulder-didac-ferrer-harro-van-lente","https://scholar.google.com/scholar?cites=14153120998015707874&as_sdt=2005&sciodt=0,5&hl=en",3,"2022-12-15 13:24:16","","10.4324/9781351278485-1","","",,,,,93,18.60,31,3,5,"… Very often specific topics related to sustainable development are presented as being the expression of sustainable development. In this book these expressions of sustainable …","https://www.researchgate.net/profile/Karel-Mulder/publication/230873698_What_is_Sustainable_Technology_Perceptions_Paradoxes_and_Possibilities/links/59d88b1da6fdcc2aad0d4e57/What-is-Sustainable-Technology-Perceptions-Paradoxes-and-Possibilities.pdf","https://scholar.google.com/scholar?q=related:4irZrY_8acQJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
844,"M Carley, I Christie","Managing sustainable development",2017,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9781315091525/managing-sustainable-development-michael-carley-ian-christie","https://scholar.google.com/scholar?cites=10846251238687348189&as_sdt=2005&sciodt=0,5&hl=en",4,"2022-12-15 13:24:16","BOOK","10.4324/9781315091525","","",,,,,844,168.80,422,2,5,"… what the book calls a constituency for sustainable development. Vertical integration remains one of the most pressing challenges of sustainable development as we move into the next, …","","https://scholar.google.com/scholar?q=related:3ZWZIgmghZYJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
316,"F Mölder, KP Jablonski, B Letcher, MB Hall…","Sustainable data analysis with Snakemake",2021,"…","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8114187.2/","https://scholar.google.com/scholar?cites=17709992435978914390&as_sdt=2005&sciodt=0,5&hl=en",5,"2022-12-15 13:24:16","HTML","","","",,,,,316,316.00,63,5,1,"… (ie, sustainable) for the … sustainable resource both for the researcher themselves and the scientific community. We structure the results by each of the properties leading to sustainable …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8114187.2/","https://scholar.google.com/scholar?q=related:Vspg-UmIxvUJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
78,"A Naldoni, VM Shalaev, ML Brongersma","Applying plasmonics to a sustainable future",2017,"Science","science.org","https://www.science.org/doi/abs/10.1126/science.aan5802","https://scholar.google.com/scholar?cites=11502374016951318921&as_sdt=2005&sciodt=0,5&hl=en",6,"2022-12-15 13:24:16","","10.1126/science.aan5802","","",,,,,78,15.60,26,3,5,"… Moreover, it would be possible to exploit local heating for separation of molecular mixtures generated from photocatalytic CO 2 reduction or H 2 production from sustainable bioalcohols. …","","https://scholar.google.com/scholar?q=related:ifkQ6jmkoJ8J:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
31,"KR Salin, VV Arun, C Mohanakumaran Nair…","Sustainable aquafeed",2018,"Sustainable …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-73257-2_4","https://scholar.google.com/scholar?cites=2525968874699939368&as_sdt=2005&sciodt=0,5&hl=en",7,"2022-12-15 13:24:16","","10.1007/978-3-319-73257-2_4","","",,,,,31,7.75,8,4,4,"… security in a sustainable way, which is a big challenge. Some of the major constraints for sustainable … by 2030 according to the Sustainable Development Goals set at the United Nations …","https://www.academia.edu/download/61168289/Sustainable_Aquaculture_Book_Chapter_4_Salin_et_al.20191108-72776-6nnuvq.pdf","https://scholar.google.com/scholar?q=related:KN4u8k4LDiMJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
354,"BS Silvestre, DM Ţîrcă","Innovations for sustainable development: Moving toward a sustainable future",2019,"Journal of cleaner production","Elsevier","https://www.sciencedirect.com/science/article/pii/S0959652618329834","https://scholar.google.com/scholar?cites=11624210567831539595&as_sdt=2005&sciodt=0,5&hl=en",8,"2022-12-15 13:24:16","","","","",,,,,354,118.00,177,2,3,"… , and communities toward a sustainable future. Although many of the … a sustainable society through innovation and change. This article reviews the diversity of innovation for Sustainable …","https://www.researchgate.net/profile/Bruno-Silvestre-2/publication/328290726_Innovations_for_sustainable_development_Moving_toward_a_sustainable_future/links/5bc4c558458515f7d9bf0a66/Innovations-for-sustainable-development-Moving-toward-a-sustainable-future.pdf","https://scholar.google.com/scholar?q=related:i8_weex9UaEJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
85,"L de Oliveira Felipe, AM de Oliveira, JL Bicas","Bioaromas–perspectives for sustainable development",2017,"Trends in Food Science & …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0924224416302060","https://scholar.google.com/scholar?cites=1626454568804966910&as_sdt=2005&sciodt=0,5&hl=en",9,"2022-12-15 13:24:16","","","","",,,,,85,17.00,28,3,5,"… modern society: the first one refers to products obtained by biotechnological processes, which can be considered as natural, and the second one is related to the concept of sustainable …","","https://scholar.google.com/scholar?q=related:_mHuINBTkhYJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
292,"GSI Alliance","Global sustainable investment review 2018",2019,"","apo.org.au","https://apo.org.au/node/228331","https://scholar.google.com/scholar?cites=740327242956004623&as_sdt=2005&sciodt=0,5&hl=en",10,"2022-12-15 13:24:16","","","","",,,,,292,97.33,292,1,3,"… status of sustainable and responsible investing in these markets at the start of 2018. Generally in this report, when discussing the global tally of sustainable … Sustainable investing is an …","","https://scholar.google.com/scholar?q=related:D93vfbQrRgoJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
684,"MC Hunter, RG Smith, ME Schipanski, LW Atwood…","Agriculture in 2050: recalibrating targets for sustainable intensification",2017,"Bioscience","academic.oup.com","https://academic.oup.com/bioscience/article-abstract/67/4/386/3016049","https://scholar.google.com/scholar?cites=13487892816411510764&as_sdt=2005&sciodt=0,5&hl=en",11,"2022-12-15 13:24:16","","","","",,,,,684,136.80,137,5,5,"… specific outcomes, and ensure that sustainable intensification efforts lead to measurable … Many authors also call for agriculture to become more environmentally sustainable, but with …","https://academic.oup.com/bioscience/article/67/4/386/3016049","https://scholar.google.com/scholar?q=related:7EfA-g2fLrsJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
165,"SA Roosa","Sustainable development handbook",2020,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=wWkQEAAAQBAJ&oi=fnd&pg=PP1&dq=%22autonomous+organization%22%7Csustainable+%22autonomous+organization%22%7Csustainable&ots=2PL-dgis5J&sig=mWZF-hx_c2P-9KtzyrMUW0JkEec","https://scholar.google.com/scholar?cites=1777686265937731720&as_sdt=2005&sciodt=0,5&hl=en",12,"2022-12-15 13:24:16","BOOK","","","",,,,,165,82.50,165,1,2,"… live in a world with a future—a sustainable one that be enjoyed by many generations after us… We can become more sustainable by redesigning and rebuilding our cities house by house, …","","https://scholar.google.com/scholar?q=related:iCBPgz2cqxgJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
158,"MF Ashby","Materials and sustainable development",2022,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=8g9vEAAAQBAJ&oi=fnd&pg=PP1&dq=%22autonomous+organization%22%7Csustainable+%22autonomous+organization%22%7Csustainable&ots=uNWwfggJOc&sig=vxiRsIZHt879XR6V7UHqQfn5OOI","https://scholar.google.com/scholar?cites=80581703089510454&as_sdt=2005&sciodt=0,5&hl=en",13,"2022-12-15 13:24:16","BOOK","","","",,,,,158,158.00,158,1,1,"… sustainable development and the role of materials in it. The book's aim is to introduce ways of exploring sustainable … There is no completely'right'answer to questions of sustainable …","http://ndl.ethernet.edu.et/bitstream/123456789/49811/1/Michael%20F.%20Ashby-Materials%20and%20Sustainable%20Development-Butterworth-Heinemann%20%282015%29.pdf","https://scholar.google.com/scholar?q=related:NtgLzKFIHgEJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
98,"N Roorda","Fundamentals of sustainable development",2020,"","taylorfrancis.com","https://www.taylorfrancis.com/books/mono/10.4324/9781003052517/fundamentals-sustainable-development-niko-roorda","https://scholar.google.com/scholar?cites=9284470438334576163&as_sdt=2005&sciodt=0,5&hl=en",14,"2022-12-15 13:24:16","BOOK","10.4324/9781003052517","","",,,,,98,49.00,98,1,2,"… of the challenges linked to striving for a sustainable, holistic approach to development. … the Sustainable Development Goals, the circular economy, climate and energy, and sustainable …","","https://scholar.google.com/scholar?q=related:IzaMJKwQ2YAJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
531,"K Tomislav","The concept of sustainable development: From its beginning to the contemporary issues",2018,"Zagreb International Review of Economics &Business","hrcak.srce.hr","https://hrcak.srce.hr/clanak/295780","https://scholar.google.com/scholar?cites=10637507197077281740&as_sdt=2005&sciodt=0,5&hl=en",15,"2022-12-15 13:24:16","","","","",,,,,531,132.75,531,1,4,"… The essence of the concept of sustainable development … Complete sustainable development is achieved through a … pillar of sustainable development becomes sustainable, others can …","https://hrcak.srce.hr/file/295780","https://scholar.google.com/scholar?q=related:zNtzkW8EoJMJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
41,"M Blum, C Ducoing, E McLaughlin","A sustainable century",2017,"National wealth: what is …","books.google.com","https://books.google.com/books?hl=en&lr=&id=V2IwDwAAQBAJ&oi=fnd&pg=PA89&dq=%22autonomous+organization%22%7Csustainable+%22autonomous+organization%22%7Csustainable&ots=PcHZAxK3sk&sig=xCLxFageIdejomNeoojBHD7o1Yg","https://scholar.google.com/scholar?cites=5939367720284296165&as_sdt=2005&sciodt=0,5&hl=en",16,"2022-12-15 13:24:16","","","","",,,,,41,8.20,14,3,5,"… (ANS), has emerged as an important indicator of sustainable development. It is based on the … evidence of the levels of sustainable and unsustainable economic development throughout …","https://research-repository.st-andrews.ac.uk/bitstream/handle/10023/23079/Global_GS_St_Andrews_Working_paper.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:5ZP3NXnfbFIJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
2563,"HE Daly","Toward some operational principles of sustainable development 1",2017,"The Economics of Sustainability","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781315240084-8/toward-operational-principles-sustainable-development-1-herman-daly","https://scholar.google.com/scholar?cites=8192267334212146273&as_sdt=2005&sciodt=0,5&hl=en",17,"2022-12-15 13:24:16","","10.4324/9781315240084-8/toward-operational-principles-sustainable-development-1-herman-daly","","",,,,,2563,512.60,2563,1,5,"… The terms 'sustainable development' and 'sustainable growth' have become very familiar … economy cannot be sustainable over long periods of time. The term sustainable growth should …","https://www.academia.edu/download/32257912/herman_daly_.pdf","https://scholar.google.com/scholar?q=related:YVTAaLzHsHEJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
290,"S Thacker, D Adshead, M Fay, S Hallegatte…","Infrastructure for sustainable development",2019,"Nature …","nature.com","https://www.nature.com/articles/s41893-019-0256-8","https://scholar.google.com/scholar?cites=5372776900861044547&as_sdt=2005&sciodt=0,5&hl=en",18,"2022-12-15 13:24:16","","","","",,,,,290,96.67,58,5,3,"… influences the attainment of all of the Sustainable Development Goals (SDGs), including 72% … to establish long-term visions for sustainable national infrastructure systems, informed by …","https://www.greenindustryplatform.org/sites/default/files/downloads/resource/Thackeretal_NS_2019.pdf","https://scholar.google.com/scholar?q=related:Qyc_CSDwj0oJ:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
825,"W Beckerman","'Sustainable development': is it a useful concept?",2017,"The Economics of Sustainability","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781315240084-11/sustainable-development-useful-concept-wilfred-beckerman","https://scholar.google.com/scholar?cites=12657891397166469744&as_sdt=2005&sciodt=0,5&hl=en",19,"2022-12-15 13:24:16","","10.4324/9781315240084-11","","",,,,,825,165.00,825,1,5,"… • ... mosr writings on sustainable development start from scratch and … Sustainable Development has any clothes at all, they are pretty threadbare. In this article I maintain that 'sustainable …","","https://scholar.google.com/scholar?q=related:cJKUTSndqa8J:scholar.google.com/&scioq=intitle:%22autonomous+organization%22%7Cintitle:sustainable+%22autonomous+organization%22%7Csustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
