Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Global Encyclopedia of Public Administration, Public Policy, and Governance","","","","","10.1007/978-3-319-20928-9","Ali Farazmand","2018","http://link.springer.com/referencework/10.1007/978-3-319-20928-9","ReferenceWork"
"The Palgrave Handbook of Technological Finance","","","","","10.1007/978-3-030-65117-6","Prof. Raghavendra RauRobert WardropLuigi Zingales","2021","http://link.springer.com/book/10.1007/978-3-030-65117-6","Book"
"Computer Networks and Inventive Communication Technologies","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-15-9647-6","S. SmysRam PalanisamyÁlvaro RochaGrigorios N. Beligiannis","2021","http://link.springer.com/book/10.1007/978-981-15-9647-6","Book"
"Planning Climate Smart and Wise Cities","The Urban Book Series","","","","10.1007/978-3-030-80165-6","Prof. Dr. Kwi-Gon KimDr. Massamba Thioye","2022","http://link.springer.com/book/10.1007/978-3-030-80165-6","Book"
"Disintermediation Economics","","","","","10.1007/978-3-030-65781-9","Eva KailiDimitrios Psarrakis","2021","http://link.springer.com/book/10.1007/978-3-030-65781-9","Book"
"Blockchain for Construction","Blockchain Technologies","","","","10.1007/978-981-19-3759-0","Theodoros DounasDavide Lombardi","2022","http://link.springer.com/book/10.1007/978-981-19-3759-0","Book"
"Blockchains and the Token Economy","Technology, Work and Globalization","","","","10.1007/978-3-030-95108-5","Mary C. LacityHorst Treiblmaier","2022","http://link.springer.com/book/10.1007/978-3-030-95108-5","Book"
"Organizing-for-Innovation","Perspectives in Law, Business and Innovation","","","","10.1007/978-981-19-7234-8","Mark FenwickErik P.M. VermeulenToshiyuki KonoTronel Joubert","2023","http://link.springer.com/book/10.1007/978-981-19-7234-8","Book"
"Theories of Change","Sustainable Finance","","","","10.1007/978-3-030-52275-9","Karen Wendt","2021","http://link.springer.com/book/10.1007/978-3-030-52275-9","Book"
"Design, User Experience, and Usability. Design for Contemporary Interactive Environments","Lecture Notes in Computer Science","","","","10.1007/978-3-030-49760-6","Dr. Aaron MarcusElizabeth Rosenzweig","2020","http://link.springer.com/book/10.1007/978-3-030-49760-6","Book"
"Strategic Innovative Marketing and Tourism","Springer Proceedings in Business and Economics","","","","10.1007/978-3-030-12453-3","Prof. Androniki KavouraProf. Efstathios KefallonitisApostolos Giovanis","2019","http://link.springer.com/book/10.1007/978-3-030-12453-3","Book"
"Encyclopedia of Creativity, Invention, Innovation and Entrepreneurship","","","","","10.1007/978-3-319-15347-6","Elias G. Carayannis","2020","http://link.springer.com/referencework/10.1007/978-3-319-15347-6","ReferenceWork"
"Proceedings of the International Scientific Conference “Smart Nations: Global Trends In The Digital Economy”","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-94870-2","Prof. Svetlana Igorevna AshmarinaDr. Valentina Vyacheslavovna MantulenkoDr. Marek Vochozka","2022","http://link.springer.com/book/10.1007/978-3-030-94870-2","Book"
"The International Encyclopedia of Higher Education Systems and Institutions","","","","","10.1007/978-94-017-8905-9","Pedro Nuno TeixeiraJung Cheol Shin","2020","http://link.springer.com/referencework/10.1007/978-94-017-8905-9","ReferenceWork"
"Toward a Sustainable Circular Economy Powered by Community-Based Incentive Systems","Business Transformation through Blockchain","","","","10.1007/978-3-319-99058-3_6","Marcus M. Dapp","2019","http://link.springer.com/chapter/10.1007/978-3-319-99058-3_6","Chapter"
"Metadata and Semantic Research","Communications in Computer and Information Science","","","","10.1007/978-3-030-98876-0","Dr. Emmanouel GaroufallouMaría-Antonia Ovalle-PerandonesAndreas Vlachidis","2022","http://link.springer.com/book/10.1007/978-3-030-98876-0","Book"
"Handbook on Blockchain","Springer Optimization and Its Applications","","","","10.1007/978-3-031-07535-3","Duc A. TranMy T. ThaiBhaskar Krishnamachari","2022","http://link.springer.com/book/10.1007/978-3-031-07535-3","Book"
"Handbook of Education Systems in South Asia","Global Education Systems","","","","10.1007/978-981-15-0032-9","Prof. Padma M. SarangapaniDr. Rekha Pappu","2021","http://link.springer.com/referencework/10.1007/978-981-15-0032-9","ReferenceWork"
"Principles and Practice of Blockchains","","","","","10.1007/978-3-031-10507-4","Kevin DaimiIoanna DionysiouNour El Madhoun","2023","http://link.springer.com/book/10.1007/978-3-031-10507-4","Book"
"Knowledge Management in Digital Change","Progress in IS","","","","10.1007/978-3-319-73546-7","Prof. Dr. Klaus NorthProf. Dr. Ronald MaierOliver Haas","2018","http://link.springer.com/book/10.1007/978-3-319-73546-7","Book"
"The Palgrave Handbook of Climate Resilient Societies","","","","","10.1007/978-3-030-42462-6","Robert C. Brears","2021","http://link.springer.com/referencework/10.1007/978-3-030-42462-6","ReferenceWork"
"Green Digital Finance and Sustainable Development Goals","Economics, Law, and Institutions in Asia Pacific","","","","10.1007/978-981-19-2662-4","Assoc. Prof. Farhad Taghizadeh-HesaryAssoc. Prof. Suk Hyun","2022","http://link.springer.com/book/10.1007/978-981-19-2662-4","Book"
"Blockchain, Artificial Intelligence and Financial Services","Future of Business and Finance","","","","10.1007/978-3-030-29761-9","Dr. Sean Stein Smith","2020","http://link.springer.com/book/10.1007/978-3-030-29761-9","Book"
"Tourism in Bangladesh: Investment and Development Perspectives","","","","","10.1007/978-981-16-1858-1","Azizul Hassan","2021","http://link.springer.com/book/10.1007/978-981-16-1858-1","Book"
"Clean Water and Sanitation","Encyclopedia of the UN Sustainable Development Goals","","","","10.1007/978-3-319-95846-0","Walter Leal FilhoAnabela Marisa AzulLuciana BrandliAmanda Lange SalviaTony Wall","2022","http://link.springer.com/referencework/10.1007/978-3-319-95846-0","ReferenceWork"
"The Home of the Future","Sustainable Development Goals Series","","","","10.1007/978-3-030-75093-0","Dr. Sinan Küfeoğlu","2021","http://link.springer.com/book/10.1007/978-3-030-75093-0","Book"
"How to Create a Web3 Startup","","","","","10.1007/978-1-4842-8683-8","Tom Taulli","2022","http://link.springer.com/book/10.1007/978-1-4842-8683-8","Book"
"Education, Research and Business Technologies","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-8866-9","Assoc. Prof. Cristian CiureaProf. Cătălin BojaProf. Paul PocatiluAssoc. Prof. Mihai Doinea","2022","http://link.springer.com/book/10.1007/978-981-16-8866-9","Book"
"Smart IoT for Research and Industry","EAI/Springer Innovations in Communication and Computing","","","","10.1007/978-3-030-71485-7","Melody MohKanta Prasad SharmaDr. Rashmi AgrawalProf. Vicente Garcia Diaz","2022","http://link.springer.com/book/10.1007/978-3-030-71485-7","Book"
