Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"A Alimoğlu, C Özturan","Design of a smart contract based autonomous organization for sustainable software",2017,"… Conference on e-Science (e-Science)","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8109181/","https://scholar.google.com/scholar?cites=12656041895707268466&as_sdt=2005&sciodt=0,5&hl=en",1,"2022-12-19 17:21:39","","","","",,,,,12,2.40,6,2,5,"… Figure 2 depicts the design of our autonomous organization. Our system consists of four main entities: 1) Users: use the software developed by the autonomous organization. If a user …","","https://scholar.google.com/scholar?q=related:ctUXsAxLo68J:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
99,"UW Chohan","The decentralized autonomous organization and governance issues",2017,"Available at SSRN 3082055","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3082055","https://scholar.google.com/scholar?cites=7522534431572865109&as_sdt=2005&sciodt=0,5&hl=en",2,"2022-12-19 17:21:39","","","","",,,,,99,19.80,99,1,5,"… It seemed something of a marginal exploration in 2017, that I sought to examine the Decentralized Autonomous Organization (DAO) as a digital structure for the execution of preset …","","https://scholar.google.com/scholar?q=related:VbCLnDVpZWgJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
23,"S Angieri, A García-Martínez, B Liu…","A distributed autonomous organization for internet address management",2019,"IEEE Transactions …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8798684/","https://scholar.google.com/scholar?cites=15203133556107849337&as_sdt=2005&sciodt=0,5&hl=en",3,"2022-12-19 17:21:39","","","","",,,,,23,7.67,6,4,3,"… whether PoW approaches are sustainable (due to their expensive cost in terms of power consumption) and whether Proof-of-Stake (PoS) provides a more sustainable alternative. By …","https://e-archivo.uc3m.es/bitstream/handle/10016/31910/distributed_ITEM_2020_ps.pdf?sequence=1","https://scholar.google.com/scholar?q=related:eS6hbGth_NIJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
140,"S Sayeed, H Marco-Gisbert, T Caira","Smart contract: Attacks and protections",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8976179/","https://scholar.google.com/scholar?cites=13465940336597748572&as_sdt=2005&sciodt=0,5&hl=en",4,"2022-12-19 17:21:39","","","","",,,,,140,70.00,47,3,2,"… of the absence of security patches have challenged the sustainability of this technology. Attacks such as the Decentralized Autonomous Organization (DAO) attack and the Parity Wallet …","https://ieeexplore.ieee.org/iel7/6287639/8948470/08976179.pdf","https://scholar.google.com/scholar?q=related:XEuD-WOh4LoJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
0,"CH Chao, IH Ting, YJ Tseng, BW Wang…","The Study of Decentralized Autonomous Organization (DAO) in Social Network",2022,"The 9th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3561278.3561293","",5,"2022-12-19 17:21:39","","10.1145/3561278.3561293","","",,,,,0,0.00,0,5,1,"In the past, the term “Decentralized Autonomous Organization (DAO)” was used to refer to a loosely organized network of autonomous entities, such as a corporation, a cooperative, or a …","",""
0,"M ŠARMÍR, P SAKÁL","DECENTRALIZED AUTONOMOUS ORGANIZATION AS A BASIS FOR THE CREATION OF MODERN WELFARE",2019,"Проблемы функционирования и развития …","elibrary.ru","https://elibrary.ru/item.asp?id=41536908","",6,"2022-12-19 17:21:39","","","","",,,,,0,0.00,0,2,3,"… 037STU-4/2012: «Implementation of the subject «Sustainable corporate social responsibility… 1/0074/20: «System implications of Sustainable corporate social responsibility in functional …","","https://scholar.google.com/scholar?q=related:qImkUhNvKWgJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
0,"AR Yadlapalli, N Mohite, V Pawar…","Artificially Intelligent Decentralized Autonomous Organization",2019,"2019 4th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9036152/","",7,"2022-12-19 17:21:39","","","","",,,,,0,0.00,0,4,3,"… for this project as implementing a Decentralized Autonomous Organization (DAO). This organization would sell … The website is going to be self-sustainable and virtually indestructible. …","https://anjaniraj.github.io/paper.pdf","https://scholar.google.com/scholar?q=related:OlWMHaae2WwJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
3,"K Saurabh, N Rani, P Upadhyay","Towards blockchain led decentralized autonomous organization (DAO) business model innovations",2022,"Benchmarking: An International …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/BIJ-10-2021-0606/full/html","https://scholar.google.com/scholar?cites=12423852225748837667&as_sdt=2005&sciodt=0,5&hl=en",8,"2022-12-19 17:21:39","","10.1108/BIJ-10-2021-0606","","",,,,,3,3.00,1,3,1,"… The paper delivers decentralized autonomous organizations led digital business model canvas elements to explain decentralized autonomous organization business model innovations…","","https://scholar.google.com/scholar?q=related:I6W0YcZjaqwJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
0,"C Alonzo","Decentralized autonomous organization: is it the corporate future?",2022,"","tesi.luiss.it","http://tesi.luiss.it/33450/","",9,"2022-12-19 17:21:39","","","","",,,,,0,0.00,0,1,1,"… The future empirical question is whether delegated management without pay a sustainable manner of is organizing and making decisions in DAOs. Individuals can also face …","http://tesi.luiss.it/33450/1/243821_ALONZO_CAROLINA.pdf",""
0,"M Muthumeenakshi, R Jayanthi","Sustainability in Leather Industry: Effects and Solutions",2021,"SPAST Abstracts","spast.org","https://spast.org/techrep/article/view/2215","",10,"2022-12-19 17:21:39","","","","",,,,,0,0.00,0,2,1,"… CLE is an autonomous organization which ensures the growth of exports in the total leather … on us, Are leather Products sustainable? It is a hot debate about the sustainability of leather …","","https://scholar.google.com/scholar?q=related:zbU76wPCYcoJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
1,"R Siliämaa","Decentralized autonomous organization as a disruptive innovation in insurance industry",2020,"","trepo.tuni.fi","https://trepo.tuni.fi/handle/10024/119890","https://scholar.google.com/scholar?cites=12764150530975749994&as_sdt=2005&sciodt=0,5&hl=en",11,"2022-12-19 17:21:39","","","","",,,,,1,0.50,1,1,2,"… Decentralized autonomous organization (DAO) In this thesis Decentralized Autonomous Organization is defined as a transparent organization that is managed and owned in a …","https://trepo.tuni.fi/bitstream/handle/10024/119890/Silia%20maaRosa.pdf?sequence=2","https://scholar.google.com/scholar?q=related:alds0kdfI7EJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
2,"AD Ricks, K Kasichainula, W Shi","Implications of decentralized autonomous organization on political campaign finance regulations",2019,"2019 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9032940/","https://scholar.google.com/scholar?cites=2400096351465585230&as_sdt=2005&sciodt=0,5&hl=en",12,"2022-12-19 17:21:39","","","","",,,,,2,0.67,1,3,3,"… based virtual entity setup to fulfill or promote politically incentivized transactions where the transactions can be automated using smart contracts, and operations of the DAO is sustained …","http://www.hstabstractbook.org/index_htm_files/c-PID6152327.pdf","https://scholar.google.com/scholar?q=related:TjrRV-raTiEJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
1,"Y Liu, C Shang","Application of Blockchain Technology in Agricultural Water Rights Trade Management",2022,"Sustainability","mdpi.com","https://www.mdpi.com/2071-1050/14/12/7017","https://scholar.google.com/scholar?cites=17657101339928852587&as_sdt=2005&sciodt=0,5&hl=en",13,"2022-12-19 17:21:39","","","","",,,,,1,1.00,1,2,1,"… a key role in environmental and economic sustainable development. Agriculture consumes a … Finally, the role and function of a decentralized autonomous organization (DAO) in a self-…","https://www.mdpi.com/2071-1050/14/12/7017/pdf","https://scholar.google.com/scholar?q=related:a3iICR6gCvUJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
1,"KL Page, AE Adel Elmessiry","Global Research Decentralized Autonomous Organization (GR-DAO): A DAO of Global Researchers",2021,"International Conference on …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3952048","https://scholar.google.com/scholar?cites=7724703890441916226&as_sdt=2005&sciodt=0,5&hl=en",14,"2022-12-19 17:21:39","","","","",,,,,1,1.00,1,2,1,"… A global research decentralized autonomous organization (GR-DAO) would have a profound impact on the research community academically, commercially, and the public good. …","https://www.csitcp.net/paper/11/1117csit08.pdf","https://scholar.google.com/scholar?q=related:Qk_e2EKpM2sJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
5,"WA Kaal","A Decentralized Autonomous Organization (DAO) of DAOs",2021,"Available at SSRN 3799320","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3799320","https://scholar.google.com/scholar?cites=7775394876441088013&as_sdt=2005&sciodt=0,5&hl=en",15,"2022-12-19 17:21:39","","","","",,,,,5,5.00,5,1,1,"… Hence, the staking of an individual and the ex-ante work that leads to staking increases sustainable value for all DAO of DAOs members. The DAO of DAOs members and other DAOs …","","https://scholar.google.com/scholar?q=related:DdCpvnHA52sJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
0,"A Ilievski","DECENTRALIZED AUTONOMOUS ORGANIZATION (DAO): UTOPIA OR EQUITABLE DISTRIBUTION?",,"researchgate.net","","https://www.researchgate.net/profile/Andrej-Ilievski-2/publication/358728033_DECENTRALIZED_AUTONOMOUS_ORGANIZATION_DAO_UTOPIA_OR_EQUITABLE_DISTRIBUTION/links/62111ed9eb735c508ae231fd/DECENTRALIZED-AUTONOMOUS-ORGANIZATION-DAO-UTOPIA-OR-EQUITABLE-DISTRIBUTION.pdf","",16,"2022-12-19 17:21:39","PDF","","","",,,,,0,0.00,0,1,,"Simultaneously with the fall of the Berlin wall, we witnessed the process of general acceptance of the Internet as mainstream. Opportunities created in the last 30 years by the Internet, …","https://www.researchgate.net/profile/Andrej-Ilievski-2/publication/358728033_DECENTRALIZED_AUTONOMOUS_ORGANIZATION_DAO_UTOPIA_OR_EQUITABLE_DISTRIBUTION/links/62111ed9eb735c508ae231fd/DECENTRALIZED-AUTONOMOUS-ORGANIZATION-DAO-UTOPIA-OR-EQUITABLE-DISTRIBUTION.pdf","https://scholar.google.com/scholar?q=related:vq5yNnN3bhQJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
0,"H Canton","United Nations Industrial Development Organization—UNIDO",2021,"The Europa Directory of International Organizations …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781003179900-55/united-nations-industrial-development-organization%E2%80%94unido-helen-canton","",17,"2022-12-19 17:21:39","","10.4324/9781003179900-55/united-nations-industrial-development-organization%E2%80%94unido-helen-canton","","",,,,,0,0.00,0,1,1,"… sustainable industrial development (ISID). This mandate was incorporated into the Sustainable … infrastructure, promote inclusive and sustainable industrialization and foster innovation. …","http://afa.at/vimun/review/2012UNIDO-Paper.pdf","https://scholar.google.com/scholar?q=related:EMSkEjR8rYIJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
19,"G Kondova, R Barba","Governance of decentralized autonomous organizations",2019,"Journal of Modern Accounting and Auditing","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3549469","https://scholar.google.com/scholar?cites=13617926578852967469&as_sdt=2005&sciodt=0,5&hl=en",18,"2022-12-19 17:21:39","","","","",,,,,19,6.33,10,2,3,"… and transparency and the decentralized autonomous organization (DAO) governance on a … and supervision of companies aimed at the sustainable interests of the company and its …","http://www.davidpublisher.com/Public/uploads/Contribute/5d7740464a092.pdf","https://scholar.google.com/scholar?q=related:LbThlRKY_LwJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
3,"N Chen, DSY Cho","A blockchain based autonomous decentralized online social network",2021,"2021 IEEE International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9342564/","https://scholar.google.com/scholar?cites=6909848643899620066&as_sdt=2005&sciodt=0,5&hl=en",19,"2022-12-19 17:21:39","","","","",,,,,3,3.00,2,2,1,"… A decentralized autonomous organization is developed for user autonomy, users can self-… In order to give the system abilities of self management and sustainable development, a …","https://eprints.nottingham.ac.uk/64786/1/A%20blockchain%20based%20autonomous%20decentralized%20online%20social%20network.pdf","https://scholar.google.com/scholar?q=related:4vpZT7u25F8J:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
3,"O Alao, P Cuffe","Structuring Special Purpose Vehicles for Financing Renewable Generators on a Blockchain Marketplace",2021,"IEEE Transactions on Industry Applications","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9650565/","https://scholar.google.com/scholar?cites=15814069068130933412&as_sdt=2005&sciodt=0,5&hl=en",20,"2022-12-19 17:21:39","","","","",,,,,3,3.00,2,2,1,"… by describing a novel decentralized autonomous organization, a blockchain-agnostic … Following financial close and construction, the SPV aims to sustainably operate the power project …","https://ieeexplore.ieee.org/iel7/28/4957013/09650565.pdf","https://scholar.google.com/scholar?q=related:pNpv6wfcdtsJ:scholar.google.com/&scioq=%22autonomous+organization%22+sustainable&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2023&as_vis=1"
