"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Survey on Consensus Mechanisms and Mining Strategy Management in Blockchain Networks","W. Wang; D. T. Hoang; P. Hu; Z. Xiong; D. Niyato; P. Wang; Y. Wen; D. I. Kim","School of Computer Science and Engineering, Nanyang Technological University, Singapore; Faculty of Engineering and Information Technology, University of Technology Sydney, Ultimo, NSW, Australia; Department of Computer Science, Rochester Institute of Technology, Rochester, NY, USA; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Department of Electrical Engineering and Computer Science, York University, Toronto, ON, Canada; School of Computer Science and Engineering, Nanyang Technological University, Singapore; Department of Electrical and Computer Engineering, Sungkyunkwan University, Suwon, South Korea","IEEE Access","28 Feb 2019","2019","7","","22328","22370","The past decade has witnessed the rapid evolution in blockchain technologies, which has attracted tremendous interests from both the research communities and industries. The blockchain network was originated from the Internet financial sector as a decentralized, immutable ledger system for transactional data ordering. Nowadays, it is envisioned as a powerful backbone/framework for decentralized data processing and data-driven self-organization in flat, open-access networks. In particular, the plausible characteristics of decentralization, immutability, and self-organization are primarily owing to the unique decentralized consensus mechanisms introduced by blockchain networks. This survey is motivated by the lack of a comprehensive literature review on the development of decentralized consensus mechanisms in blockchain networks. In this paper, we provide a systematic vision of the organization of blockchain networks. By emphasizing the unique characteristics of decentralized consensus in blockchain networks, our in-depth review of the state-of-the-art consensus protocols is focused on both the perspective of distributed consensus system design and the perspective of incentive mechanism design. From a game-theoretic point of view, we also provide a thorough review of the strategy adopted for self-organization by the individual nodes in the blockchain backbone networks. Consequently, we provide a comprehensive survey of the emerging applications of blockchain networks in a broad area of telecommunication. We highlight our special interest in how the consensus mechanisms impact these applications. Finally, we discuss several open issues in the protocol design for blockchain consensus and the related potential research directions.","2169-3536","","10.1109/ACCESS.2019.2896108","Wallenberg AI. Autonomous Systems and Software Program(grant numbers:(WASP)/NTU M4082187 (4080)); Singapore Ministry of Education (MOE) Tier 1(grant numbers:2017-T1-002-007 RG122/17); MOE Tier 2(grant numbers:MOE2014-T2-2-015 ARC4/15); National Research Foundation Singapore(grant numbers:NRF2015-NRF-ISF001-2277); Energy Market Authority of Singapore(grant numbers:NRF2017EWT-EP003-041); Singapore EMA Project(grant numbers:NRF2017EWT-EP003-023); National Research Foundation of Korea; National Research Foundation of Korea(grant numbers:2017R1A2B2003953); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8629877","Blockchain;permissionless consensus;Byzantine fault tolerance;block mining;incentive mechanisms;game theory;P2P networks","Blockchain;Protocols;Organizations;Bitcoin;Scalability;Standards organizations","cryptocurrencies;cryptographic protocols;data mining;financial data processing;game theory","blockchain consensus;decentralized ledger system;immutable ledger system;decentralized data processing;data-driven self-organization;blockchain backbone networks;mining strategy management;blockchain technologies;transactional data ordering;open-access networks;decentralized consensus mechanisms;consensus protocols;distributed consensus system design;incentive mechanism design","","422","1","226","OAPA","30 Jan 2019","","","IEEE","IEEE Journals"
"A Review on Blockchain Technologies for an Advanced and Cyber-Resilient Automotive Industry","P. Fraga-Lamas; T. M. Fernández-Caramés","Department of Computer Engineering, Universidade da Coruña, A Coruña, Spain; Department of Computer Engineering, Universidade da Coruña, A Coruña, Spain","IEEE Access","14 Feb 2019","2019","7","","17578","17598","In the last century, the automotive industry has arguably transformed society, being one of the most complex, sophisticated, and technologically advanced industries, with innovations ranging from the hybrid, electric, and self-driving smart cars to the development of IoT-connected cars. Due to its complexity, it requires the involvement of many Industry 4.0 technologies, like robotics, advanced manufacturing systems, cyber-physical systems, or augmented reality. One of the latest technologies that can benefit the automotive industry is blockchain, which can enhance its data security, privacy, anonymity, traceability, accountability, integrity, robustness, transparency, trustworthiness, and authentication, as well as provide long-term sustainability and a higher operational efficiency to the whole industry. This review analyzes the great potential of applying blockchain technologies to the automotive industry emphasizing its cybersecurity features. Thus, the applicability of blockchain is evaluated after examining the state-of-the-art and devising the main stakeholders' current challenges. Furthermore, the article describes the most relevant use cases, since the broad adoption of blockchain unlocks a wide area of short- and medium-term promising automotive applications that can create new business models and even disrupt the car-sharing economy as we know it. Finally, after strengths, weaknesses, opportunities, and threats analysis, some recommendations are enumerated with the aim of guiding researchers and companies in future cyber-resilient automotive industry developments.","2169-3536","","10.1109/ACCESS.2019.2895302","Xunta de Galicia(grant numbers:ED431C 2016-045,ED431G/01); Agencia Estatal de Investigación of Spain(grant numbers:TEC2016-75067-C4-1-R); ERDF Funds(grant numbers:AEI/FEDER, EU); BBVA; BritishSpanish Society; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8626103","Blockchain;distributed ledger technology (DLT);Industry 4.0;IIoT;cyber-physical system;cryptography;cybersecurity;tamper-proof data;privacy;traceability","Blockchain;Industries;Automotive engineering;Computer security;Biological system modeling;Automobiles","automobile industry;cryptocurrencies;cyber-physical systems;data privacy;electric vehicles;Internet;Internet of Things;manufacturing systems;production engineering computing;reviews","blockchain technologies;cyber-resilient automotive Industry;smart cars;IoT-connected cars;advanced manufacturing systems;cyber-physical systems;review;electric cars;augmented reality;data security;cybersecurity features;car-sharing economy;data privacy","","144","1","180","OAPA","25 Jan 2019","","","IEEE","IEEE Journals"
"Auction Mechanisms in Cloud/Fog Computing Resource Allocation for Public Blockchain Networks","Y. Jiao; P. Wang; D. Niyato; K. Suankaewmanee","School of Computer Science and Engineering, Nanyang Technological University, Singapore; Lassonde School of Engineering, York University, Toronto, ON, Canada; School of Computer Science and Engineering, Nanyang Technological University, Singapore; School of Computer Science and Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Parallel and Distributed Systems","7 Aug 2019","2019","30","9","1975","1989","As an emerging decentralized secure data management platform, blockchain has gained much popularity recently. To maintain a canonical state of blockchain data record, proof-of-work based consensus protocols provide the nodes, referred to as miners, in the network with incentives for confirming new block of transactions through a process of “block mining” by solving a cryptographic puzzle. Under the circumstance of limited local computing resources, e.g., mobile devices, it is natural for rational miners, i.e., consensus nodes, to offload computational tasks for proof of work to the cloud/fog computing servers. Therefore, we focus on the trading between the cloud/fog computing service provider and miners, and propose an auction-based market model for efficient computing resource allocation. In particular, we consider a proof-of-work based blockchain network, which is constrained by the computing resource and deployed as an infrastructure for decentralized data management applications. Due to the competition among miners in the blockchain network, the allocative externalities are particularly taken into account when designing the auction mechanisms. Specifically, we consider two bidding schemes: the constant-demand scheme where each miner bids for a fixed quantity of resources, and the multi-demand scheme where the miners can submit their preferable demands and bids. For the constant-demand bidding scheme, we propose an auction mechanism that achieves optimal social welfare. In the multi-demand bidding scheme, the social welfare maximization problem is NP-hard. Therefore, we design an approximate algorithm which guarantees the truthfulness, individual rationality and computational efficiency. Through extensive simulations, we show that our proposed auction mechanisms with the two bidding schemes can efficiently maximize the social welfare of the blockchain network and provide effective strategies for the cloud/fog computing service provider.","1558-2183","","10.1109/TPDS.2019.2900238","WASP/NTU M4082187(grant numbers:4080); Singapore MOE Tier 1(grant numbers:2017-T1-002-007 RG122/17); MOE Tier 2(grant numbers:MOE2014-T2-2-015 ARC4/15); Singapore(grant numbers:NRF2015-NRF-ISF001-2277); Singapore EMA Energy Resilience(grant numbers:NRF2017EWT-EP003-041); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8666727","Blockchain;auction;cloud/fog computing;social welfare;pricing;proof of work;game theory","Blockchain;Resource management;Protocols;Cryptography;Task analysis;Peer-to-peer computing;Approximation algorithms","cloud computing;computational complexity;cryptocurrencies;data mining;distributed databases;electronic commerce;mobile computing;resource allocation;tendering","resource allocation;cloud/fog computing;decentralized secure data management platform;multidemand bidding scheme;constant-demand bidding scheme;decentralized data management applications;auction-based market model;block mining;proof-of-work based consensus protocols;public blockchain networks;auction mechanism","","129","","43","IEEE","13 Mar 2019","","","IEEE","IEEE Journals"
"Blockchain for Cities—A Systematic Literature Review","C. Shen; F. Pena-Mora","Advanced Construction and Information Technology Laboratory, Columbia University, New York, NY, USA; Center for Buildings, Infrastructure and Public Space, Columbia University, New York, NY, USA","IEEE Access","19 Dec 2018","2018","6","","76787","76819","Blockchain is considered one of the most disruptive technologies of our time. Numerous cities around the world are launching blockchain initiatives as part of the overall efforts toward shaping the urban future. However, the infancy stage of the blockchain industry leads to a severe gap between the knowledge we have and the actions urban policy makers are taking. This paper is an effort to narrow this rift. We provide a systematic literature review on concrete blockchain use cases proposed by the research community. At the macro-level, we discuss and organize use cases from 159 selected papers into nine sectors recognized as crucial for sustainable and smart urban future. At the micro-level, we identify a component-based framework and analyze the design and prototypes of blockchain systems studied in a subset of 71 papers. The high-level use case review allows us to illustrate the relationship between them and the four pillars of urban sustainability: social, economic, environmental, and governmental. The system level analysis helps us highlight interesting inconsistencies between well-known blockchain applicability decision rules and the approaches taken by the literature. We also offer two classification methodologies for blockchain use cases and elaborate on how they can be applied to stimulate cross-sector insights in the blockchain knowledge domain.","2169-3536","","10.1109/ACCESS.2018.2880744","Kong Family and Zhao Family Gifts; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8531608","Bitcoin;blockchain;computer networks;consensus;crypto token;distributed computing;Ethereum;Hyperledger Fabric;systematic literature review;smart city;smart contract;system analysis and design;peer-to-peer computing;urban sustainability;use case","Peer-to-peer computing;Urban areas;Bitcoin;Bibliographies;Sustainable development","cryptocurrencies;environmental economics;government policies;reviews;socio-economic effects;sustainable development;town and country planning","governmental policy;economic factors;social factors;environmental factors;component-based framework;urban policy makers;blockchain industry;blockchain knowledge domain;urban sustainability;smart urban future;systematic literature review","","94","","263","OAPA","11 Nov 2018","","","IEEE","IEEE Journals"
"The Roadmap to 6G Security and Privacy","P. Porambage; G. Gür; D. P. M. Osorio; M. Liyanage; A. Gurtov; M. Ylianttila","Centre for Wireless Communications, University of Oulu, Oulu, Finland; Institute of Applied Information Technology (InIT), Zurich University of Applied Sciences (ZHAW), Winterthur, Switzerland; Centre for Wireless Communications, University of Oulu, Oulu, Finland; School of Computer Science, University College Dublin, Dublin, Ireland; Department of Computer and Information Science, Linköping University, Linköping, Sweden; Centre for Wireless Communications, University of Oulu, Oulu, Finland","IEEE Open Journal of the Communications Society","20 May 2021","2021","2","","1094","1122","Although the fifth generation (5G) wireless networks are yet to be fully investigated, the visionaries of the 6th generation (6G) echo systems have already come into the discussion. Therefore, in order to consolidate and solidify the security and privacy in 6G networks, we survey how security may impact the envisioned 6G wireless systems, possible challenges with different 6G technologies, and the potential solutions. We provide our vision on 6G security and security key performance indicators (KPIs) with the tentative threat landscape based on the foreseen 6G network architecture. Moreover, we discuss the security and privacy challenges that may encounter with the available 6G requirements and potential 6G applications. We also give the reader some insights into the standardization efforts and research-level projects relevant to 6G security. In particular, we discuss the security considerations with 6G enabling technologies such as distributed ledger technology (DLT), physical layer security, distributed AI/ML, visible light communication (VLC), THz, and quantum computing. All in all, this work intends to provide enlightening guidance for the subsequent research of 6G security and privacy at this initial phase of vision towards reality.","2644-125X","","10.1109/OJCOMS.2021.3078081","6Genesis Flagship(grant numbers:318927); 5GEAR Projects; European Union’s Horizon 2020 Research and Innovation Programme(grant numbers:871808); CENIIT Project 17.01; Excellence Center at Linköping-Lund in IT (ELLIIT); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426946","6G;security;security threats;AI/ML security;DLT;physical layer security;privacy;quantum computing","6G mobile communication;Security;Privacy;5G mobile communication;Computer architecture;Wireless communication;Distributed ledger","6G mobile communication;data privacy;telecommunication security","security considerations;6G enabling technologies;6G security;key performance indicators;6G network architecture;6G privacy;KPIs","","53","","176","CCBY","10 May 2021","","","IEEE","IEEE Journals"
"Decentralized Autonomous Organizations: Concept, Model, and Applications","S. Wang; W. Ding; J. Li; Y. Yuan; L. Ouyang; F. -Y. Wang","University of Chinese Academy of Sciences, Beijing, China; AI Business Division, Beijing Jintong Network Investment Co., Ltd., Beijing, China; Qingdao Academy of Intelligent Industries, Qingdao, China; Qingdao Academy of Intelligent Industries, Qingdao, China; Qingdao Academy of Intelligent Industries, Qingdao, China; Qingdao Academy of Intelligent Industries, Qingdao, China","IEEE Transactions on Computational Social Systems","7 Oct 2019","2019","6","5","870","878","Decentralized autonomy is a long-standing research topic in information sciences and social sciences. The self-organization phenomenon in natural ecosystems, the Cyber Movement Organizations (CMOs) on the Internet, and the Distributed Artificial Intelligence (DAI), and so on, can all be regarded as its early manifestations. In recent years, the rapid development of blockchain technology has spawned the emergence of the so-called Decentralized Autonomous Organization [DAO, sometimes labeled as Decentralized Autonomous Corporation (DAC)], which is a new organization form that the management and operational rules are typically encoded on blockchain in the form of smart contracts, and can autonomously operate without centralized control or third-party intervention. DAO is expected to overturn the traditional hierarchical management model and significantly reduce organizations’ costs on communication, management, and collaboration. However, DAO still faces many challenges, such as security and privacy issue, unclear legal status, and so on. In this article, we strive to present a systematic introduction of DAO, including its concept and characteristics, research framework, typical implementations, challenges, and future trends. Especially, a novel reference model for DAO which employs a five-layer architecture is proposed. This article is aimed at providing helpful guidance and reference for future research efforts.","2329-924X","","10.1109/TCSS.2019.2938190","National Natural Science Foundation of China(grant numbers:61533019,71702182); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8836488","Blockchain;consensus mechanism;decentralized autonomous organizations (DAO);smart contracts","Organizations;Blockchain;Smart contracts;Internet;Peer-to-peer computing;Collaboration","artificial intelligence;computer network security;contracts;cryptocurrencies;distributed databases;Internet","Decentralized Autonomous Organization;decentralized autonomy;distributed artificial intelligence;smart contracts;hierarchical management model;organization cost reduction;security issue;privacy issue;legal status;five-layer architecture;Cyber Movement Organizations;natural ecosystems;self-organization phenomenon;social sciences;information sciences;reference model;research framework;operational rules;organization form;Decentralized Autonomous Corporation;blockchain technology","","39","","51","IEEE","13 Sep 2019","","","IEEE","IEEE Journals"
"An Effective Electronic waste management solution based on Blockchain Smart Contract in 5G Communities","M. Poongodi; M. Hamdi; V. Vijayakumar; B. S. Rawal; M. Maode","Division of Computing and Technology, Hamad Bin Khalifa University, Doha, Qatar; Division of Computing and Technology, Hamad Bin Khalifa University, Doha, Qatar; University of New South Wales, Sydney, Australia; Department of Cybersecurity University, Erie, PA, USA; School of Electrical Engg, Nanyang Technological University, Nanyang Avenue, Singapore","2020 IEEE 3rd 5G World Forum (5GWF)","13 Oct 2020","2020","","","1","6","we have become too dependent on technology owing to which the quantity of e-waste produced at the end of their life cycle has increased at a rapid pace. In later centuries, there would be an equivalent amount of carbon footprint by the smartphone sector as to that of transportation industry. The approximate estimation of the total carbon footprint while taking the other existing abundant electronic gadgets is enormous. Considering the growing volume of e-waste, the possibilities of these non-biodegradable elements contaminating the atmosphere are towering. The e-waste generated in all these recent years is being taken seriously by various nations and effective steps are being taken to overcome this challenge. To overcome this challenge, an effective e-waste management technique by means of blockchain in the 5G scenario is proposed. The proposed solution tracks the e-waste produced and motivates people by providing incentives to them for channelizing the e-waste via agencies managed by the government that effectively dispose the waste in an environmentfriendly way. Henceforth, a partnership model is proposed for the implementation of this method which leads to increase in jobs as well as proper organization of unplanned setup that is with a large amount of prospective potential.","","978-1-7281-7299-6","10.1109/5GWF49715.2020.9221346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9221346","5G;Blockchain;Distributed Ledger;e-Waste;Smart Contract","Electric potential;5G mobile communication;Transportation industry;Smart contracts;Government;Estimation;Electronic waste","biodegradable materials;contamination;contracts;cryptography;electronic products;environmental science computing;recycling;waste disposal","e-waste management technique;blockchain smart contract;5G communities;total carbon footprint;electronic gadgets;nonbiodegradable elements;smartphone sector;electronic waste management;transportation industry;contamination;government agencies;waste disposal","","16","","31","IEEE","13 Oct 2020","","","IEEE","IEEE Conferences"
"Blockchain-Empowered Space-Air-Ground Integrated Networks: Opportunities, Challenges, and Solutions","Y. Wang; Z. Su; J. Ni; N. Zhang; X. Shen","School of Cyber Science and Engineering, Xi’an Jiaotong University, Xi’an, China; School of Cyber Science and Engineering, Xi’an Jiaotong University, Xi’an, China; Department of Electrical and Computer Engineering, Queen’s University, Kingston, Canada; Department of Electrical and Computer Engineering, University of Windsor, Windsor, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada","IEEE Communications Surveys & Tutorials","24 Feb 2022","2022","24","1","160","209","The terrestrial networks face the challenges of severe cost inefficiency and low feasibility to provide seamless services anytime and anywhere, especially in the extreme or hotspot areas (e.g., disaster areas, mountains, and oceans) due to limited service coverage and capacity. The integration of multi-dimensional networks consisting of space, air, and ground layers is expected to provide solutions in delivering cost-effective and ubiquitous Internet of things (IoT) services for billions of users and interconnected smart devices. Autonomous data collection, exchange, and processing across different network segments with minimal human interventions in space-air-ground IoT (SAG-IoT) can bring great convenience to consumers, however, it also suffers new attacks from intruders. Severe privacy invasion, reliability issues, and security breaches of SAG-IoT can hinder its wide deployment. The emerging blockchain holds great potentials to address the security concerns in SAG-IoT, thanks to its prominent features of decentralization, transparency, immutability, traceability, and auditability. Despite of the benefits of blockchain-empowered SAG-IoT, there exist a series of fundamental challenges in terms of efficiency and regulation due to the intrinsic characteristics of SAG-IoT (e.g., heterogeneity, time-variability, and poor interoperability) and the limitations of existing blockchain approaches (e.g., capacity and scalability). This article presents a comprehensive survey of the integration of blockchain technologies for securing SAG-IoT applications. Specifically, we first discuss the architecture, characteristics, and security threats of SAG-IoT systems. Then, we concentrate on the promising blockchain-based solutions for SAG-IoT security. Next, we discuss the critical challenges when integrating blockchain in SAG-IoT security services and review the state-of-the-art solutions. We further investigate the opportunities of blockchain in artificial intelligence and beyond 5G networks and provide open research directions for building future blockchain-empowered SAG-IoT systems.","1553-877X","","10.1109/COMST.2021.3131711","NSFC(grant numbers:U20A20175,U1808207); Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9631953","Blockchain;space-air-ground integrated network (SAGIN);Internet of Things (IoT);security;privacy;trust;network optimization","Blockchains;Internet of Things;Security;Reliability;Privacy;Vehicle dynamics;Smart devices","blockchains;computer network security;Internet of Things;satellite communication","SAG-IoT security services;future blockchain-empowered SAG-IoT systems;blockchain-empowered space-air-ground integrated networks;terrestrial networks;severe cost inefficiency;multidimensional networks;ground layers;Internet of Things services;network segments;space-air-ground IoT;blockchain technologies;SAG-IoT applications;promising blockchain-based solutions;integrating blockchain","","12","","231","IEEE","1 Dec 2021","","","IEEE","IEEE Journals"
"A Blockchain-based Framework for Collaborative Production in Distributed and Social Manufacturing","L. Ouyang; Y. Yuan; F. -Y. Wang","University of Chinese Academy of Sciences, Beijing, China; Qingdao Academy of Intelligent Industries, Qingdao, China; Qingdao Academy of Intelligent Industries, Qingdao, China","2019 IEEE International Conference on Service Operations and Logistics, and Informatics (SOLI)","13 Jan 2020","2019","","","76","81","In recent years, novel collaborative production paradigms, such as (re-)distributed manufacturing and social manufacturing, have attracted intensive attention due to their potential of further changing the existing manufacturing modes and industrial structures. Blockchain, as a new distributed computing architecture, is expected to be successfully used in manufacturing, and help solve issues related to interoperability and collaboration, security and supervision, marketization and protocol, democratic organization and global value chain governance, and so on. In this paper, a blockchain-based framework for collaborative production is proposed, aiming at providing novel ideas for the design, implementation and optimization of collaborative production, and also inspiring the upgrading and transformation of manufacturing industries.","","978-1-7281-2853-5","10.1109/SOLI48380.2019.8955075","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955075","distributed manufacturing;social manufacturing;collaborative framework;blockchain;smart contract","Production;Collaboration;Manufacturing;Blockchain;Organizations;Smart contracts;Security","cryptography;distributed databases;groupware;manufacturing industries;manufacturing systems;production engineering computing","blockchain;social manufacturing;collaborative production;manufacturing modes;distributed computing architecture;industrial structures;manufacturing industries","","11","","37","IEEE","13 Jan 2020","","","IEEE","IEEE Conferences"
"A Distributed Autonomous Organization for Internet Address Management","S. Angieri; A. García-Martínez; B. Liu; Z. Yan; C. Wang; M. Bagnulo","Universidad Carlos III de Madrid, Madrid, Spain; Universidad Carlos III de Madrid, Madrid, Spain; Huawei, Beijing, China; China Internet Network Information Center, Beijing, China; Huawei, Beijing, China; Universidad Carlos III de Madrid, Madrid, Spain","IEEE Transactions on Engineering Management","16 Oct 2020","2020","67","4","1459","1475","The current system to manage the global pool of IP addresses is centralized in five transnational organizations, known as regional internet registries (RIRs). Each of them manages the address pool for many countries. In this paper, we present InBlock, a distributed autonomous organization that provides the decentralized management of IP addresses. The InBlock also fulfills the same objectives as those fulfilled by the current IP address allocation organizations, i.e., uniqueness, fairness, conservation, aggregation, registration, and minimized overhead. The InBlock is implemented as a set of blockchain's smart contracts in Ethereum, and it implements all the functions needed for the management of a global pool of addresses without any human intervention. Any entity may request an allocation of addresses to the InBlock registry by performing a (crypto)currency transfer to the InBlock. The fee required, along with the annual renewal fee, serves as a mechanism to deter stockpiling and other wasteful practices. As with any novel technology, there are many open questions about the usage of blockchains to build an IP address registry. For this reason, we believe that practical experimentation is required in order to have hands-on experience, so we propose to conduct an experiment on the InBlock as a starting point to inform about the future directions in this space.","1558-0040","","10.1109/TEM.2019.2924737","Huawei Technologies; Spanish Ministry of Economy and Competitiveness(grant numbers:TEC2016-76795-C6-3-R); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8798684","Internet;IP networks;network security;routing protocols","IP networks;Internet;Resource management;Blockchain;Organizations;Law;Cryptography","computer network management;contracts;cryptocurrencies;Internet;IP networks","distributed autonomous organization;transnational organizations;regional Internet registries;decentralized management;blockchain;InBlock registry;IP address registry;IP address allocation organizations;Internet address management;Ethereum;smart contracts;cryptocurrency transfer;annual renewal fee","","11","","52","IEEE","14 Aug 2019","","","IEEE","IEEE Journals"
