Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,,,,,,,,,
Sustainable development and cryptocurrencies as private money,Journal of Industrial and Business Economics,,47,1,10.1007/s40812-019-00139-5,John VazKym Brown,2020,http://link.springer.com/article/10.1007/s40812-019-00139-5,Article,,,,,,,,,
A Multi-Perspective Framework for Research on (Sustainable) Autonomous Systems,Business & Information Systems Engineering,,64,3,10.1007/s12599-022-00752-0,Roman BeckJens DibbernMartin Wiener,2022,http://link.springer.com/article/10.1007/s12599-022-00752-0,Article,,,,,,,,,
"Towards green Internet of Things (IoT) for a sustainable future in Gulf Cooperation Council countries: current practices, challenges and future prospective",Wireless Networks,,,,10.1007/s11276-022-03133-3,Mahmoud A. AlbreemAbdul Manan SheikhMohammed J. K. BashirAyman A. El-Saleh,2022,http://link.springer.com/article/10.1007/s11276-022-03133-3,Article,,,,,,,,,
A sustainable University: Digital Transformation and Beyond,Education and Information Technologies,,27,7,10.1007/s10639-022-10968-y,Dr Mohamed Ashmel Mohamed HashimProf Issam TlemsaniProf Robin Duncan Matthews,2022,http://link.springer.com/article/10.1007/s10639-022-10968-y,Article,,,,,,,,,
"The Marriage of Technology, Markets and Sustainable (and) Social Finance: Insights from ICO Markets for a New Regulatory Framework",European Business Organization Law Review,,20,1,10.1007/s40804-019-00138-y,Iris H. Y. ChiuEdward F. Greene,2019,http://link.springer.com/article/10.1007/s40804-019-00138-y,Article,,,,,,,,,
The Visible Hand of corporate entrepreneurship in state-owned enterprises: a longitudinal study of the Spanish National Postal Operator,International Entrepreneurship and Management Journal,,18,3,10.1007/s11365-020-00700-y,Águeda Gil-LópezUnai ArzubiagaElena San RománAlfredo De Massis,2022,http://link.springer.com/article/10.1007/s11365-020-00700-y,Article,,,,,,,,,
Urban agriculture can transform the sustainable food security for urban dwellers in Pakistan,GeoJournal,,86,5,10.1007/s10708-020-10208-1,Farah ZulfiqarJie ShangSumaira YasmeenMuhammad Umair WattooMuhammad NasrullahQamar Alam,2021,http://link.springer.com/article/10.1007/s10708-020-10208-1,Article,,,,,,,,,
"Can agriculture and conservation be compatible in a coastal wetland? Balancing stakeholders’ narratives and interactions in the management of El Hondo Natural Park, Spain",Agriculture and Human Values,,39,2,10.1007/s10460-021-10271-5,Sandra RicartAntonio M. Rico-Amorós,2022,http://link.springer.com/article/10.1007/s10460-021-10271-5,Article,,,,,,,,,
Adopting distributed ledger technology for the sustainable construction industry: evaluating the barriers using Ordinal Priority Approach,Environmental Science and Pollution Research,,29,7,10.1007/s11356-021-16376-y,Mahsa SadeghiAmin MahmoudiXiaopeng Deng,2022,http://link.springer.com/article/10.1007/s11356-021-16376-y,Article,,,,,,,,,
Ethical Marketing in the Blockchain-Based Sharing Economy: Theoretical Integration and Guiding Insights,Journal of Business Ethics,,,,10.1007/s10551-021-05015-8,Teck Ming TanJari Salo,2021,http://link.springer.com/article/10.1007/s10551-021-05015-8,Article,,,,,,,,,
Promises and challenges of Blockchain in education,Smart Learning Environments,,8,1,10.1186/s40561-021-00179-2,Jae Park,2021,http://link.springer.com/article/10.1186/s40561-021-00179-2,Article,,,,,,,,,
Substitutes or complements? Exploring the impact of environmental regulations and informal institutions on the clean energy utilization behaviors of farmers,"Environment, Development and Sustainability",,,,10.1007/s10668-022-02222-9,Jinhua XieGangqiao YangGe WangYaying ZhuZhaoxia Guo,2022,http://link.springer.com/article/10.1007/s10668-022-02222-9,Article,,,,,,,,,
"Rural restructuring in China: Theory, approaches and research prospect",Journal of Geographical Sciences,,27,10,10.1007/s11442-017-1429-x,Shuangshuang TuHualou Long,2017,http://link.springer.com/article/10.1007/s11442-017-1429-x,Article,,,,,,,,,
What makes an environmental trust fund successful? A case study of the Maldives,Climatic Change,,161,2,10.1007/s10584-020-02700-x,Mohamed ShumaisIbrahim Mohamed,2020,http://link.springer.com/article/10.1007/s10584-020-02700-x,Article,,,,,,,,,
Blockchain for SME Clusters: An Ideation using the Framework of Ostrom Commons Governance,Information Systems Frontiers,,24,4,10.1007/s10796-022-10288-z,Geetika JainArchana ShrivastavaJustin PaulRonak Batra,2022,http://link.springer.com/article/10.1007/s10796-022-10288-z,Article,,,,,,,,,
A survey of application research based on blockchain smart contract,Wireless Networks,,28,2,10.1007/s11276-021-02874-x,Shi-Yi LinLei ZhangJing LiLi-li JiYue Sun,2022,http://link.springer.com/article/10.1007/s11276-021-02874-x,Article,,,,,,,,,
Environment and disaster education in the secondary school curriculum in Bangladesh,SN Social Sciences,,1,1,10.1007/s43545-020-00025-1,M. Rezaul Islam,2020,http://link.springer.com/article/10.1007/s43545-020-00025-1,Article,,,,,,,,,
Can agroecology and CRISPR mix? The politics of complementarity and moving toward technology sovereignty,Agriculture and Human Values,,39,2,10.1007/s10460-021-10284-0,Maywa Montenegro de Wit,2022,http://link.springer.com/article/10.1007/s10460-021-10284-0,Article,,,,,,,,,
The effects of blockchain technology adoption on business ethics and social sustainability: evidence from the Middle East,"Environment, Development and Sustainability",,24,5,10.1007/s10668-021-01729-x,Mohammad Hossein RonaghiMohammad Mosakhani,2022,http://link.springer.com/article/10.1007/s10668-021-01729-x,Article,,,,,,,,,
"Systematic literature review on smart contracts in the construction industry: Potentials, benefits, and challenges",Frontiers of Engineering Management,,9,2,10.1007/s42524-022-0188-2,Xuling YeNingshuang ZengMarkus König,2022,http://link.springer.com/article/10.1007/s42524-022-0188-2,Article,,,,,,,,,
Artificial intelligence and blockchain implementation in supply chains: a pathway to sustainability and data monetisation?,Annals of Operations Research,,,,10.1007/s10479-022-04785-2,Naoum TsolakisRoman SchumacherManoj DoraMukesh Kumar,2022,http://link.springer.com/article/10.1007/s10479-022-04785-2,Article,,,,,,,,,
"Urban growth sustainability of Islamabad, Pakistan, over the last 3 decades: a perspective based on object-based backdating change detection",GeoJournal,,86,5,10.1007/s10708-020-10172-w,Yong LiuShaker ul dinYue Jiang,2021,http://link.springer.com/article/10.1007/s10708-020-10172-w,Article,,,,,,,,,
Exploring the role of blockchain technology in value creation: a multiple case study approach,Quality & Quantity,,,,10.1007/s11135-022-01348-2,Alireza AbdollahiFaraz SadeghvaziriAbderahman Rejeb,2022,http://link.springer.com/article/10.1007/s11135-022-01348-2,Article,,,,,,,,,
Urban water service quality assessment in Tanzanian towns of Songea and Mbeya,Sustainable Water Resources Management,,3,4,10.1007/s40899-017-0120-9,Mitthan Lal KansalIvor Joseph NdimboSurendra Kumar Chandaniha,2017,http://link.springer.com/article/10.1007/s40899-017-0120-9,Article,,,,,,,,,
Decentralization: the key to accelerating access to distributed energy services in sub-Saharan Africa?,Journal of Environmental Studies and Sciences,,10,3,10.1007/s13412-020-00608-7,Collen ZalengeraLong Seng ToRichard SieffAlison MohrAran EalesJon ClokeHannah BucklandEd BrownRichard BlanchardSimon Batchelor,2020,http://link.springer.com/article/10.1007/s13412-020-00608-7,Article,,,,,,,,,
The ecological views of the Balinese toward their subak cultural landscape heritage,"Environment, Development and Sustainability",,24,11,10.1007/s10668-021-01979-9,Sang Putu Kaler SurataDewa Ayu PuspawatiPutu Eka Pasmidi AriatiI. Gusti Agung Paramitha Eka Putri,2022,http://link.springer.com/article/10.1007/s10668-021-01979-9,Article,,,,,,,,,
The psychology of organizational and social sustainability,Frontiers of Engineering Management,,6,3,10.1007/s42524-019-0029-0,Wei-Tau LeeHao ZhangKenneth H. Funk II,2019,http://link.springer.com/article/10.1007/s42524-019-0029-0,Article,,,,,,,,,
An assessment of environment friendly methods of khadi manufacturing,Indian Journal of History of Science,,56,1,10.1007/s43539-021-00003-3,Shruti GuptaDeepali RastogiRitu Mathur,2021,http://link.springer.com/article/10.1007/s43539-021-00003-3,Article,,,,,,,,,
Partnership for the goals to reduce CVD mortality: Rowing in the same direction,Journal of Nuclear Cardiology,,26,6,10.1007/s12350-019-01839-0,"João V. Vitola MD, PhD, MASNCMiguel Morita Fernandes-Silva MD, MPH, PhD",2019,http://link.springer.com/article/10.1007/s12350-019-01839-0,Article,,,,,,,,,
Too big to fail: An essay about Svein Jentoft’s engagement in small-scale fisheries research and development of the interactive governance theory,Maritime Studies,,17,3,10.1007/s40152-018-0114-8,Ratana Chuenpagdee,2018,http://link.springer.com/article/10.1007/s40152-018-0114-8,Article,,,,,,,,,
Toward a collaborative governance model for distributed ledger technology adoption in organizations,Environment Systems and Decisions,,42,2,10.1007/s10669-022-09852-4,Bokolo Anthony Jnr.,2022,http://link.springer.com/article/10.1007/s10669-022-09852-4,Article,,,,,,,,,
Change in landscape and ecosystems services as the basis of monitoring natural protected areas: a case study in the Picos de Europa National Park (Spain),Environmental Monitoring and Assessment,,192,4,10.1007/s10661-020-8132-6,Carlos L. De PabloMiguel Peñalver-AlcázarPilar Martín De Agar,2020,http://link.springer.com/article/10.1007/s10661-020-8132-6,Article,,,,,,,,,
International Capacity Building in Psychological Science: Reflections on Student Involvement and Endeavors,Trends in Psychology,,,,10.1007/s43076-022-00168-5,Daniel BalvaDaniel Thomas PageFanie CollardeauJulio Andrés Gómez HenaoAna Lorena Flores-Camacho,2022,http://link.springer.com/article/10.1007/s43076-022-00168-5,Article,,,,,,,,,
What is beyond the edges? Gated communities and their role in China’s desire for harmonious cities,"City, Territory and Architecture",,7,1,10.1186/s40410-020-00122-x,Badiaa HamamaJian Liu,2020,http://link.springer.com/article/10.1186/s40410-020-00122-x,Article,,,,,,,,,
Half a Century of Systems Studies into Developing the Power Industry in the Soviet Union and Russia: What Next? (Review),Thermal Engineering,,67,12,10.1134/S0040601520120034,A. A. Makarov,2020,http://link.springer.com/article/10.1134/S0040601520120034,Article,,,,,,,,,
Community acceptability and the energy transition: a citizens’ perspective,"Energy, Sustainability and Society",,9,1,10.1186/s13705-019-0218-z,Breffní LennonNiall P. DunphyEstibaliz Sanvicente,2019,http://link.springer.com/article/10.1186/s13705-019-0218-z,Article,,,,,,,,,
Architecture as service: a case of design on demand (DoD),Journal of Ambient Intelligence and Humanized Computing,,10,12,10.1007/s12652-018-1147-y,Mihai NadinAsma Naz,2019,http://link.springer.com/article/10.1007/s12652-018-1147-y,Article,,,,,,,,,
A survey on Blockchain mechanisms (BCM) based on internet of things (IoT) applications,Multimedia Tools and Applications,,81,23,10.1007/s11042-022-12784-5,C. SathishC. Yesubai Rubavathi,2022,http://link.springer.com/article/10.1007/s11042-022-12784-5,Article,,,,,,,,,
"Blockchain, Bitcoin, and ICOs: a review and research agenda",Small Business Economics,,56,4,10.1007/s11187-019-00286-y,Romi KherSiri TerjesenChen Liu,2021,http://link.springer.com/article/10.1007/s11187-019-00286-y,Article,,,,,,,,,
Bio-digital architecture,AI & SOCIETY,,37,3,10.1007/s00146-022-01405-2,David Maulén de los Reyes,2022,http://link.springer.com/article/10.1007/s00146-022-01405-2,Article,,,,,,,,,
